,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
19,Council Resolution of 15 March 1985 on the rational use of energy in the building sector,,31985Y0326(01),,,,,Resolution,"thermal equipment, energy consumption, project of common interest, energy use, building",,"Energy, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1985-03-15,"1985-03-26, 1986-01-01",Council of the European Union,1985-03-15,No end date,,,,True,"OJ C 78, 26/03/1985, p. 1–1
		 (DA, DE, EL, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
20,Council Resolution of 15 January 1985 on the improvement of energy-saving programmes in the Member States,,31985Y0122(01),,,,,Resolution,"energy saving, energy policy, energy use, EU programme, price of energy",,"Conjunctural policy, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1985-01-15,"1985-01-22, 1986-01-01",Council of the European Union,1985-01-15,No end date,,,,True,"OJ C 20, 22/01/1985, p. 1–4
		 (DA, DE, EL, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
21,Resolution of the ECSC Consultative Committee on the Commission's review of Member States' energy policies,,31984Y0620(02),,,,,Resolution,"nuclear energy, coal, energy policy, ECSC",,"Energy, Fuels","Energy, General principles and programmes, General",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1984-05-17,1984-06-20,Consultative Committee of the European Coal and Steel Community,,No end date,,,,True,"OJ C 160, 20/06/1984, p. 2–4
		 (DA, DE, EL, EN, FR, IT, NL)",,
22,Resolution of the European Coal and Steel Community Consultative Committee on the working programme on solid fuels,,31983Y0716(02),,,,,Resolution,"fuel, action programme, energy consumption, sales aid, coal, coalmining policy",,Fuels,"Energy, Coal, Promotion of the coal industry",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1983-06-22,1983-07-16,Consultative Committee of the European Coal and Steel Community,,No end date,,,,True,"OJ C 191, 16/07/1983, p. 2–3
		 (DA, DE, EL, EN, FR, IT, NL)",,
23,Council Resolution of 9 June 1980 concerning new lines of action by the Community in the field of energy saving,,31980Y0618(02),,,,,Resolution,"energy consumption, EU programme, action programme, energy saving, energy use",,"Energy, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1980-06-09,"1980-06-18, 1986-01-01",Council of the European Union,1980-06-09,No end date,,,,True,"OJ C 149, 18/06/1980, p. 3–5
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
24,Council Resolution of 18 February 1980 on fast breeder reactors,,31980Y0229(04),,,,,Resolution,"environmental protection, energy supply, peaceful use of energy, nuclear safety, energy demand, breeder reactor",,"Environment, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Nuclear research",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1980-02-18,"1980-02-29, 1986-01-01",Council of the European Union,1980-02-18,No end date,,,,True,"OJ C 51, 29/02/1980, p. 5–6
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
25,Council Resolution of 20 November 1978 concerning the mutual exchange of information at Community level on the siting of power stations,,31978Y1130(01),,,,,Resolution,"exchange of information, power plant, location of industry",,"Information and verification, Energy","Energy, Electricity",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1978-11-20,"1978-11-30, 1986-01-01, 1980-12-31",Council of the European Union,1978-11-20,No end date,,,,True,"OJ C 286, 30/11/1978, p. 1–1
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",,
26,Council Resolution of 18 July 1977 on advisory committees on research programme management,,31977Y0811(01),,,,,Resolution,"comitology, advisory committee (EU), research programme, management",,"Provisions governing the Institutions, Research and training","General, financial and institutional matters, Science, information, education and culture, Energy, Provisions governing the institutions, Science, General principles and programmes, General, Research sectors, General",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1977-07-18,"1977-08-11, 1986-01-01, 1980-12-31",Council of the European Union,1977-07-18,No end date,,,,True,"OJ C 192, 11/08/1977, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",,
27,Council Resolution of 9 December 1975 setting a short- term target for energy saving 1976/77,,31975Y1217(01),,,,,Resolution,"energy consumption, energy use, energy saving",,"Energy, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1975-12-09,1975-12-17,Council of the European Union,1975-12-09,No end date,,,,True,"OJ C 289, 17/12/1975, p. 1–2
		 (DA, DE, EN, FR, IT, NL)",,
28,Council Resolution of 22 July 1975 on the technological problems of nuclear safety,,31975Y0814(01),,,,,Resolution,"research programme, nuclear safety, energy supply",,"Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1975-07-22,"1975-08-14, 1986-01-01",Council of the European Union,1975-07-22,No end date,,,,True,"OJ C 185, 14/08/1975, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
29,Council Resolution of 3 March 1975 on energy and the environment,,31975Y0725(02),,,,,Resolution,"management of resources, thermal energy, nuclear energy, air quality, environmental protection, action programme",,"Environment, Energy","Environment, consumers and health protection, Energy, Environment, General principles and programmes, General provisions and programmes, General",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:41973X1220,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1975-03-03,"1975-07-25, 1986-01-01, 1980-12-31",Council of the European Union,1975-03-03,No end date,,,,True,"OJ C 168, 25/07/1975, p. 2–3
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",,
30,Council Resolution of 13 February 1975 concerning measures to be implemented to achieve the Community energy policy objectives adopted by the Council on 17 December 1974,,31975Y0709(04),,,,,Resolution,"nuclear energy, hydrocarbon, EU policy, energy policy, EU production, energy saving",,"Environment, Nuclear common market, Fuels, Energy","Energy, Energy, General principles and programmes, General principles and programmes, Rational utilisation and conservation of energy, General",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1975-02-13,"1975-07-09, 1986-01-01, 1980-12-31",Council of the European Union,1975-02-13,No end date,,,,True,"OJ C 153, 09/07/1975, p. 6–8
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",,
31,Council Resolution of 17 September 1974 concerning a new energy policy strategy for the Community,,31975Y0709(01),,,,,Resolution,"EU policy, energy production, energy supply, energy policy",,"Energy, Environment, Cooperation, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1974-09-17,"1975-07-09, 1986-01-01",Council of the European Union,1974-09-17,No end date,,,,True,"OJ C 153, 09/07/1975, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
32,Council Resolution of 17 December 1974 concerning Community energy policy objectives for 1985,,31975Y0709(02),,,,,Resolution,"energy production, EU policy, energy saving, energy policy, energy supply",,"Nuclear common market, Fuels, Energy, Environment","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1974-12-17,"1975-07-09, 1986-01-01, 1980-12-31",Council of the European Union,1974-12-17,No end date,,,,True,"OJ C 153, 09/07/1975, p. 2–4
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",,
33,Council Resolution of 17 December 1974 on a Community action programme on the rational utilization of energy,,31975Y0709(03),,,,,Resolution,"energy policy, energy use, energy saving",,"Environment, Energy, Fuels, Nuclear common market","Energy, Energy, General principles and programmes, General principles and programmes, Rational utilisation and conservation of energy, General",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1974-12-17,"1975-07-09, 1986-01-01, 1980-12-31",Council of the European Union,1974-12-17,No end date,,,,True,"OJ C 153, 09/07/1975, p. 5–5
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",,
34,Council Resolution of 4 June 1974 concerning the supply of enriched uranium of the Community,,31974Y0614(01),,,,,Resolution,"energy supply, nuclear policy, nuclear power station, uranium",,"Energy, Nuclear common market","Energy, Nuclear energy, Fuel supplies",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1974-06-04,"1974-06-14, 1986-01-01",Council of the European Union,1974-06-14,No end date,,,,True,"OJ C 69, 14/06/1974, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
35,Resolution of the ECSC Consultative Committee on Coal Policy in the Community,,31973Y1127(01),,,,,Resolution,"ECSC, EU industrial policy, energy market, energy supply, coalmining policy",,"Fuels, Conjunctural policy","Energy, Coal, Promotion of the coal industry",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1973-11-06,1973-11-27,European Commission,,No end date,,,,True,"OJ C 103, 27/11/1973, p. 2–3
		 (DA, DE, EN, FR, IT, NL)",,
36,Resolution of the Advisory Committee on Energy Policy,,31972Y1011(01),,,,,Resolution,"coal industry, energy consumption, energy policy, coal, ECSC, mining extraction",,"Energy, Fuels","Energy, Coal, Promotion of the coal industry",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1972-09-15,1972-10-11,European Commission,,No end date,,,,True,"OJ C 106, 11/10/1972, p. 10–11
		 (DE, FR, IT, NL)",,
37,"71/56/Euratom: Resolution of 17 December 1970 by representatives of the governments of the Member States, meeting within the Council, on the appointment of members of the Advisory Committee of the Joint Research Centre",/* Unofficial translation */,41971X0056,,,,http://data.europa.eu/eli/res/1971/56/oj,Resolution,"comitology, advisory committee (EU), Joint Research Centre",,"Nuclear common market, Research and training, Provisions governing the Institutions","Energy, Nuclear energy, Other measures relating to nuclear energy",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1970-12-17,"1971-01-20, 1986-01-01",Representatives of the Governments of the Member States,,No end date,,,,True,"OJ L 16, 20/01/1971, p. 13–13
		 (DE, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
38,/* 71/55/Euratom: Council Resolution of 17 December 1970 on the detailed rules for adopting research and education programmes */,,31971G0055,,,,http://data.europa.eu/eli/res/1971/55/oj,Resolution,"teaching curriculum, nuclear policy, research expenditure (EU), EAEC, research programme, EU programme",,Research and training,"Energy, General principles and programmes",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1970-12-17,"1971-01-20, 1986-01-01",Council of the European Union,,,,,,True,"OJ L 16, 20/01/1971, p. 13–13
		 (DE, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",,
0,"Commission Opinion of 6 June 2017 relating to the modified plan for the disposal of radioactive waste arising from the Comurhex II site located at Malvési in France, in accordance with Article 37 of the Euratom Treaty",C/2017/3690,32017A0608(01),,,,,Opinion,"radioactive waste, radioactive pollution, public health, storage of waste, radioactive materials, nuclear safety, waste disposal",,"Nuclear common market, Safety at work and elsewhere","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2017-06-06,2017-06-08,"European Commission, Directorate-General for Energy",2017-06-06,No end date,,,,True,"OJ C 180, 08/06/2017, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
1,"Commission Opinion of 4 December 2015 relating to the plan for the disposal of radioactive waste arising from the decommissioning and the dismantling of the La Hague UP2-400 Reprocessing Plant, located in France",,32015A1205(01),,,,,Opinion,"public health, France, radioactive pollution, radioactive waste, waste disposal, nuclear safety, storage of waste, radioactive materials",,"Nuclear common market, Safety at work and elsewhere","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2015-12-04,2015-12-05,European Commission,2015-12-04,No end date,,,,True,"OJ C 405, 05/12/2015, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
2,"Commission Opinion of 26 February 2015 relating to the plan for the disposal of radioactive waste arising from the European Spallation Source Facility (Linear Accelerator), located at Lund in Sweden",,32015A0228(01),,,,,Opinion,"nuclear safety, Sweden, nuclear fission, Denmark, internal border of the EU, radioactive waste",,Safety at work and elsewhere,"Energy, Nuclear energy, Safeguards",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2015-02-26,2015-02-28,European Commission,2015-02-26,No end date,,,,True,"OJ C 72, 28/02/2015, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
3,Commission Opinion of 30 October 2014 relating to the plan for the disposal of radioactive waste arising from the clean-out and partial dismantling as well as the partial reallocation into a temporary storage facility of the Sellafield MOX Plant in the United Kingdom,,32014A1122(01),,,,,Opinion,"nuclear safety, United Kingdom, decommissioning of power stations, nuclear fuel, radioactive waste",,"Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-10-30,2014-11-22,European Commission,2014-10-30,No end date,,,,True,"OJ C 420, 22/11/2014, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
